sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S067,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.msetex(redis.clients.jedis.params.MSetExParams,java.lang.String[]):redis.clients.jedis.CommandObject",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,929,,,,,
S068,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.objectFreq(byte[]):redis.clients.jedis.CommandObject,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,934,,,,,
S069,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/Connection.java#redis.clients.jedis.Connection.getSoTimeout():int,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,1480,,,,,
S070,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/ConnectionPool.java#redis.clients.jedis.ConnectionPool.ConnectionPool(org.apache.commons.pool2.PooledObjectFactory):void,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,1541,,,,,
S071,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.Jedis(java.lang.String,int,int,int,boolean):void",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,1676,,,,,
S072,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.Jedis(java.net.URI,int):void",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,1682,,,,,
S073,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.hotkeysReset():java.lang.String,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2117,,,,,
S074,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.srandmember(java.lang.String):java.lang.String,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2439,,,,,
S075,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.vrandmember(byte[],int):java.util.List",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2500,,,,,
S076,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.xautoclaimJustId(byte[],byte[],byte[],long,byte[],redis.clients.jedis.params.XAutoClaimParams):java.util.List",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2538,,,,,
S077,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/Jedis.java#redis.clients.jedis.Jedis.zrandmember(byte[]):byte[],jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2663,,,,,
S078,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/JedisClientConfig.java#redis.clients.jedis.JedisClientConfig.getBlockingSocketTimeoutMillis():int,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,2755,,,,,
